LOG_INTERVAL_USEC,5000
rec#,adc0,adc1,adc2,adc3
263,3619,0,2309,0
264,3617,0,2309,0
265,3616,0,2305,0
266,3617,0,2302,0
267,3618,0,2294,0
268,3619,0,2288,0
269,3615,0,2288,0
270,3618,0,2288,0
271,3618,0,2288,0
272,3618,0,2287,0
273,3618,0,2277,0
274,3618,0,2295,0
275,3618,0,2303,0
276,3618,0,2304,0
277,3619,0,2306,0
278,3616,0,2308,0
279,3617,0,2313,0
280,3618,0,2315,0
281,3619,0,2313,0
282,3617,0,2317,0
283,3616,0,2319,0
284,3619,0,2318,0
285,3617,0,2320,0
286,3618,0,2319,0
287,3621,0,2318,0
288,3616,0,2316,0
289,3615,0,2310,0
290,3621,0,2310,0
291,3618,0,2309,0
292,3618,0,2307,0
293,3619,0,2294,0
294,3618,0,2305,0
295,3619,0,2318,0
296,3619,0,2320,0
297,3616,0,2331,0
298,3619,0,2344,0
299,3619,0,2352,0
300,3616,0,2352,0
301,3617,0,2346,0
302,3619,0,2342,0
303,3621,0,2343,0
304,3619,0,2347,0
305,3622,0,2351,0
306,3617,0,2352,0
307,3617,0,2351,0
308,3621,0,2350,0
309,3622,0,2343,0
310,3615,0,2342,0
311,3615,0,2346,0
312,3616,0,2344,0
313,3615,0,2334,0
314,3622,0,2352,0
315,3619,0,2357,0
316,3622,0,2363,0
317,3618,0,2366,0
318,3619,0,2365,0
319,3617,0,2362,0
320,3619,0,2358,0
321,3621,0,2359,0
322,3616,0,2365,0
323,3619,0,2370,0
324,3615,0,2383,0
325,3620,0,2393,0
326,3621,0,2399,0
327,3621,0,2404,0
328,3618,0,2401,0
329,3619,0,2399,0
330,3619,0,2391,0
331,3620,0,2391,0
332,3615,0,2394,0
333,3616,0,2384,0
334,3619,0,2391,0
335,3617,0,2387,0
336,3617,0,2385,0
337,3622,0,2384,0
338,3615,0,2386,0
339,3619,0,2385,0
340,3619,0,2387,0
341,3622,0,2387,0
342,3617,0,2389,0
343,3617,0,2394,0
344,3618,0,2387,0
345,3621,0,2384,0
346,3619,0,2381,0
347,3616,0,2379,0
348,3617,0,2382,0
349,3618,0,2384,0
350,3617,0,2390,0
351,3618,0,2397,0
352,3618,0,2400,0
353,3617,0,2385,0
354,3617,0,2384,0
355,3619,0,2383,0
356,3614,0,2379,0
357,3620,0,2371,0
358,3617,0,2368,0
359,3617,0,2368,0
360,3619,0,2365,0
361,3615,0,2355,0
362,3617,0,2346,0
363,3615,0,2335,0
364,3618,0,2334,0
365,3619,0,2331,0
366,3617,0,2333,0
367,3617,0,2336,0
368,3618,0,2336,0
369,3619,0,2337,0
